,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff,home_hrva_rwma,home_hrvap_rwma,home_hrva_rmean,home_hrvap_rmean,away_hrva_rwma,away_hrvap_rwma,away_hrva_rmean,away_hrvap_rmean,diff_hrva_rwma,diff_hrvap_rwma,diff_hrva_rmean,diff_hrvap_rmean
0,2010-05-26,France,Costa Rica,2,1,Friendly,Lens,France,0,9,1044,40,710,-31,334,W,0,1,0,82,80,82,81,1335,1335-11-156279,19,73,69,73,73,1383,1383-08-155359,3,7,12,9,1,1335-11-156279,22.0,25.2,26.0,182.0,183.2,182.0,74.0,78.8,75.4,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-7.833333333333332,-2.8000000000000007,-0.75,2.0,4.199999999999989,0.0,-2.3333333333333286,8.799999999999997,-2.3499999999999943,,,,,,,,,,,,
1,2011-02-09,Venezuela,Costa Rica,2,2,Friendly,Puerto la Cruz,Venezuela,0,60,515,69,467,-9,48,D,1,1,0,71,74,69,70,111487,111487-13-157186,5,73,69,73,73,1383,1383-08-155359,3,1,1,-4,1,111487-13-157186,23.0,28.0,27.4,188.0,183.4,174.4,84.0,76.8,71.8,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-6.833333333333332,0.0,0.6499999999999986,8.0,4.400000000000006,-7.599999999999994,7.666666666666671,6.799999999999998,-5.950000000000002,,,,,,,,,,,,
2,2011-12-22,Venezuela,Costa Rica,0,2,Friendly,Barquisimeto,Venezuela,0,39,661,65,495,-26,166,L,2,1,0,71,74,69,70,111487,111487-13-157186,5,73,69,73,73,1383,1383-08-155359,3,1,1,-4,1,111487-13-157186,23.0,28.0,27.4,188.0,183.4,174.4,84.0,76.8,71.8,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-6.833333333333332,0.0,0.6499999999999986,8.0,4.400000000000006,-7.599999999999994,7.666666666666671,6.799999999999998,-5.950000000000002,,,,,,,,,,,,
3,2018-03-27,Tunisia,Costa Rica,1,0,Friendly,Nice,France,1,23,920,26,872,-3,48,W,0,0,0,73,75,71,71,1391,1391-09-155725,3,73,69,73,73,1383,1383-08-155359,3,2,2,-2,1,1391-09-155725,27.0,26.4,24.8,190.0,185.8,182.4,86.0,78.8,71.8,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-2.833333333333332,-1.6000000000000014,-1.9499999999999995,10.0,6.800000000000012,0.4000000000000057,9.666666666666671,8.799999999999997,-5.950000000000002,,,,,,,,,,,,
4,2010-06-01,Switzerland,Costa Rica,0,1,Friendly,Sion,Switzerland,0,24,866,40,710,-16,156,L,2,1,0,76,74,72,73,1364,1364-11-156279,11,73,69,73,73,1383,1383-08-155359,3,1,4,-1,1,1364-11-156279,29.5,27.2,24.75,188.5,187.0,180.5,80.0,81.8,75.5,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-0.3333333333333321,-0.8000000000000007,-2.0,8.5,8.0,-1.5,3.666666666666672,11.799999999999995,-2.25,,,,,,,,,,,,
5,2010-08-11,Paraguay,Costa Rica,2,0,Friendly,Asunción,Paraguay,0,15,961,53,562,-38,399,W,0,1,0,74,79,73,70,1375,1375-13-157186,11,73,69,73,73,1383,1383-08-155359,3,6,1,0,1,1375-13-157186,28.0,31.8,28.0,189.0,181.8,175.8,81.0,79.2,69.6,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-1.833333333333332,3.8000000000000007,1.25,9.0,2.800000000000012,-6.199999999999988,4.666666666666671,9.200000000000003,-8.150000000000006,,,,,,,,,,,,
6,2011-07-07,Bolivia,Costa Rica,0,2,Copa América,San Salvador de Jujuy,Argentina,1,102,312,56,541,46,-229,L,2,0,0,66,71,64,66,111451,111451-13-157186,2,73,69,73,73,1383,1383-08-155359,3,-2,-3,-9,0,111451-13-157186,28.5,28.8,21.75,181.0,178.6,170.75,80.0,76.0,66.5,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-1.333333333333332,0.8000000000000007,-5.0,1.0,-0.4000000000000057,-11.25,3.666666666666672,6.0,-11.25,-0.48012659124346974,-0.41130772881348215,-0.47058823529411764,-0.4117647058823529,0.03394348886621416,0.0745129225044585,0.18269230769230768,0.23076923076923078,-0.5140700801096839,-0.48582065131794067,-0.6532805429864253,-0.6425339366515836
7,2012-11-14,Bolivia,Costa Rica,1,1,Friendly,Santa Cruz,Bolivia,0,51,585,64,509,-13,76,D,1,1,0,66,71,64,66,111451,111451-13-157186,2,73,69,73,73,1383,1383-08-155359,3,-2,-3,-9,1,111451-13-157186,28.5,28.8,21.75,181.0,178.6,170.75,80.0,76.0,66.5,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-1.333333333333332,0.8000000000000007,-5.0,1.0,-0.4000000000000057,-11.25,3.666666666666672,6.0,-11.25,,,,,,,,,,,,
8,2010-09-03,Panama,Costa Rica,2,2,Friendly,Panama City,Panama,0,97,314,53,562,44,-248,D,1,1,0,69,68,68,68,111475,111475-18-158904,1,73,69,73,73,1383,1383-08-155359,3,-5,-1,-5,1,111475-18-158904,36.0,27.0,26.4,187.0,182.8,180.0,83.0,77.8,74.8,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,6.166666666666668,-1.0,-0.3500000000000014,7.0,3.8000000000000114,-2.0,6.666666666666671,7.799999999999998,-2.950000000000003,,,,,,,,,,,,
9,2011-01-21,Panama,Costa Rica,1,1,UNCAF Cup,Panama City,Panama,0,67,475,69,467,-2,8,D,1,1,0,69,68,68,68,111475,111475-18-158904,1,73,69,73,73,1383,1383-08-155359,3,-5,-1,-5,0,111475-18-158904,36.0,27.0,26.4,187.0,182.8,180.0,83.0,77.8,74.8,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,6.166666666666668,-1.0,-0.3500000000000014,7.0,3.8000000000000114,-2.0,6.666666666666671,7.799999999999998,-2.950000000000003,0.015422038351732212,0.004486576075150641,-0.11290322580645161,-0.12903225806451613,0.17727344502485703,0.20920738367038366,0.23148148148148148,0.27314814814814814,-0.1618514066731248,-0.20472080759523303,-0.3443847072879331,-0.40218040621266427
